Syscall,Sync,Run,Time_ms
39,RCU,1,78
39,RCU,2,75
39,RCU,3,65
39,RCU,4,67
39,RCU,5,65
39,RCU,6,69
39,RCU,7,68
39,RCU,8,63
39,RCU,9,67
39,RCU,10,64
39,RCU,11,72
39,RCU,12,71
39,RCU,13,80
39,RCU,14,58
39,RCU,15,64
39,RCU,16,60
39,RCU,17,69
39,RCU,18,63
39,RCU,19,64
39,RCU,20,73
39,Spinlock,1,95
39,Spinlock,2,86
39,Spinlock,3,87
39,Spinlock,4,94
39,Spinlock,5,97
39,Spinlock,6,92
39,Spinlock,7,85
39,Spinlock,8,86
39,Spinlock,9,84
39,Spinlock,10,81
39,Spinlock,11,100
39,Spinlock,12,89
39,Spinlock,13,83
39,Spinlock,14,102
39,Spinlock,15,86
39,Spinlock,16,90
39,Spinlock,17,88
39,Spinlock,18,95
39,Spinlock,19,93
39,Spinlock,20,87
